/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

(None, 'red', None, None, None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'left', 'forward')
 -- forward : -20.02
 -- None : 3.22
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'left', 'left', None)
 -- forward : 59.79
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', None, None)
 -- forward : 0.00
 -- None : 83.53
 -- right : 12.09
 -- left : -4.66

('left', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 12.20
 -- left : 0.00

('left', 'red', 'forward', 'left', None)
 -- forward : -5.47
 -- None : 7.29
 -- right : 76.10
 -- left : -1.98

('forward', 'green', 'right', 'left', 'left')
 -- forward : 27.06
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 115.76

('left', 'red', 'forward', 'right', 'right')
 -- forward : -5.33
 -- None : 2.36
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- None : 6.18
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : -10.37
 -- left : 0.00

('left', 'red', 'left', 'left', 'forward')
 -- forward : 0.00
 -- None : 7.90
 -- right : 0.00
 -- left : -18.99

('right', 'red', 'forward', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 11.91
 -- left : 0.00

(None, 'green', 'forward', None, None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

(None, 'green', 'right', None, 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'left', 'right')
 -- forward : -4.92
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'forward', 'left')
 -- forward : -20.10
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'forward', 'left')
 -- forward : 0.65
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'right', 'right')
 -- forward : 35.88
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'forward', None, 'left')
 -- forward : 74.16
 -- None : -2.79
 -- right : 0.00
 -- left : 0.00

(None, 'green', 'left', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'left', 'forward')
 -- forward : -19.89
 -- None : 1.26
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'right', 'right')
 -- forward : -4.53
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'forward', 'forward')
 -- forward : 22.67
 -- None : -2.06
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'right', 'left')
 -- forward : -5.39
 -- None : 5.17
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'forward', None)
 -- forward : -20.30
 -- None : 9.88
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 34.83
 -- left : 0.00

('left', 'green', 'left', 'right', 'left')
 -- forward : 66.42
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'left', 'forward', None)
 -- forward : 1.77
 -- None : 5.42
 -- right : 1.42
 -- left : 0.00

('left', 'red', 'right', 'forward', 'left')
 -- forward : -19.98
 -- None : 2.14
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'left', 'forward')
 -- forward : 71.34
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'forward', 'forward')
 -- forward : 29.22
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

(None, 'green', 'forward', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'left', None)
 -- forward : 31.39
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

(None, 'red', 'forward', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'right', 'left')
 -- forward : 0.00
 -- None : 2.77
 -- right : 0.00
 -- left : -19.21

('forward', 'green', 'forward', None, None)
 -- forward : 27.52
 -- None : 5.07
 -- right : 0.00
 -- left : -3.28

('right', 'green', 'left', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 2.70

('left', 'green', 'forward', None, 'forward')
 -- forward : 36.98
 -- None : -4.04
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', None, None)
 -- forward : -7.27
 -- None : 20.10
 -- right : 0.00
 -- left : -19.71

('forward', 'red', None, None, 'forward')
 -- forward : -19.87
 -- None : 3.08
 -- right : 55.89
 -- left : -18.45

(None, 'red', 'left', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'left', 'forward')
 -- forward : 1.56
 -- None : 0.00
 -- right : 45.74
 -- left : 0.00

(None, 'red', 'right', None, None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, None, 'right')
 -- forward : 13.90
 -- None : 0.00
 -- right : 0.00
 -- left : 0.29

('left', 'red', 'left', 'right', 'left')
 -- forward : -7.60
 -- None : 2.84
 -- right : 0.00
 -- left : 0.00

(None, 'red', None, 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'left', 'left')
 -- forward : -7.47
 -- None : 1.35
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'right', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 54.23
 -- left : 0.00

('left', 'red', None, 'forward', 'forward')
 -- forward : 0.00
 -- None : 14.02
 -- right : -9.78
 -- left : -27.92

('left', 'green', None, 'right', 'forward')
 -- forward : 37.24
 -- None : 0.00
 -- right : 1.63
 -- left : 1.17

('right', 'red', 'forward', 'right', None)
 -- forward : -4.86
 -- None : 6.34
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'forward', 'right')
 -- forward : -20.40
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'right')
 -- forward : 0.00
 -- None : 11.82
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'forward', 'right')
 -- forward : 7.38
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', None, None)
 -- forward : 47.83
 -- None : -3.32
 -- right : 3.54
 -- left : -6.86

('right', 'red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- None : 3.68
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'forward', None)
 -- forward : 67.40
 -- None : -1.57
 -- right : 1.10
 -- left : 0.00

('left', 'red', 'left', None, 'left')
 -- forward : -4.82
 -- None : 22.56
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 86.32
 -- left : 0.00

('forward', 'red', 'left', 'right', 'right')
 -- forward : -4.77
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'left', 'right')
 -- forward : 32.67
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'left', 'left')
 -- forward : 37.05
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', None, None)
 -- forward : 1.62
 -- None : 21.75
 -- right : 2.54
 -- left : 1.60

('left', 'green', 'forward', 'right', 'right')
 -- forward : 1.16
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'forward', 'right')
 -- forward : -20.06
 -- None : 0.31
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- None : 4.99
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'left', 'forward')
 -- forward : -19.92
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'forward', None)
 -- forward : -20.11
 -- None : 43.27
 -- right : -9.23
 -- left : -34.33

('left', 'green', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 24.97
 -- left : 0.00

('forward', 'red', 'forward', 'forward', 'right')
 -- forward : -20.03
 -- None : 0.00
 -- right : 0.00
 -- left : -20.02

('right', 'red', None, 'left', None)
 -- forward : -5.38
 -- None : 35.06
 -- right : 22.97
 -- left : 0.00

('forward', 'green', None, None, 'forward')
 -- forward : 1.61
 -- None : -2.24
 -- right : 5.64
 -- left : 36.34

('left', 'green', 'left', None, 'left')
 -- forward : 0.61
 -- None : 0.22
 -- right : 13.50
 -- left : 0.00

('right', 'red', None, None, 'forward')
 -- forward : 0.00
 -- None : 25.17
 -- right : 0.00
 -- left : -28.62

('right', 'red', 'forward', 'right', 'right')
 -- forward : -5.09
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'left', 'right')
 -- forward : 37.22
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'left', 'right')
 -- forward : -5.23
 -- None : 0.94
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'right', 'left')
 -- forward : -4.72
 -- None : 1.14
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'forward', None)
 -- forward : -19.73
 -- None : 9.94
 -- right : -15.53
 -- left : 0.00

('left', 'green', None, 'left', 'right')
 -- forward : 2.47
 -- None : 0.00
 -- right : 84.80
 -- left : 0.00

('right', 'red', None, 'right', 'forward')
 -- forward : -20.27
 -- None : 2.08
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', None, 'right')
 -- forward : 90.11
 -- None : -0.09
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'forward')
 -- forward : -16.26
 -- None : 0.00
 -- right : 25.03
 -- left : -20.05

('forward', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- None : 5.34
 -- right : 1.44
 -- left : 1.36

('right', 'red', 'right', 'forward', 'left')
 -- forward : -19.64
 -- None : 2.23
 -- right : 0.00
 -- left : 0.00

(None, 'red', 'left', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, None, 'right')
 -- forward : -7.23
 -- None : 0.00
 -- right : 19.27
 -- left : -3.06

('right', 'red', None, 'forward', 'right')
 -- forward : -19.70
 -- None : 2.84
 -- right : -9.82
 -- left : 0.00

('left', 'green', None, 'forward', 'forward')
 -- forward : 1.44
 -- None : -3.85
 -- right : 0.50
 -- left : 27.99

(None, 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, 'forward', None)
 -- forward : 2.02
 -- None : 0.46
 -- right : 0.00
 -- left : 15.43

('forward', 'red', 'forward', 'forward', 'forward')
 -- forward : -20.19
 -- None : 0.00
 -- right : -9.69
 -- left : 0.00

('right', 'red', None, None, None)
 -- forward : 19.78
 -- None : 199.82
 -- right : 6.68
 -- left : 28.49

('right', 'red', None, 'forward', 'forward')
 -- forward : -20.11
 -- None : 6.35
 -- right : -9.93
 -- left : 0.00

('right', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- None : 1.17
 -- right : 86.19
 -- left : 0.00

('forward', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- None : 15.00
 -- right : 0.00
 -- left : -29.04

('forward', 'green', 'right', 'forward', None)
 -- forward : 0.00
 -- None : -2.18
 -- right : 33.71
 -- left : 0.00

('right', 'green', 'left', 'left', 'right')
 -- forward : 12.24
 -- None : 0.00
 -- right : 0.00
